S. No.,compname,isin,fincode,sub_sector,sector,Week,Symbols
1,Aegis Logistics Ltd.,INE208C01025,100003,Logistics,Logistics,1,
2,Amara Raja Batteries Ltd.,INE885A01032,100008,Batteries,Automobile & Ancillaries,1,
3,Bajaj Electricals Ltd.,INE193E01025,100031,Consumer Durables - Domestic Appliances,Consumer Durables,1,
4,Ambalal Sarabhai Enterprises Ltd.,INE432A01017,100009,Pharmaceuticals & Drugs,Healthcare,1,
5,Bhansali Engineering Polymers Ltd.,INE922A01025,100052,Chemicals,Chemicals,1,
6,Andhra Petrochemicals Ltd.,INE714B01016,100012,Chemicals,Chemicals,1,
7,Utique Enterprises Ltd.,INE096A01010,100014,Finance - Investment,Finance,1,
8,Aruna Hotels Ltd.,INE957C01019,100016,"Hotel, Resort & Restaurants",Hospitality,1,
9,BASF India Ltd.,INE373A01013,100042,Pesticides & Agrochemicals,Chemicals,1,
10,Bannari Amman Sugars Ltd.,INE459A01010,100041,Sugar,Agri,1,
11,Balrampur Chini Mills Ltd.,INE119A01028,100038,Sugar,Agri,1,
12,Force Motors Ltd.,INE451A01017,100033,Automobiles-Trucks/Lcv,Automobile & Ancillaries,1,
13,ATV Projects India Ltd.,INE447A01015,100028,Engineering - Industrial Equipments,Capital Goods,1,
14,Housing Development Finance Corporation Ltd.,INE001A01036,100010,Finance - Housing,Finance,1,
15,Banco Products (India) Ltd.,INE213C01025,100039,Auto Ancillary,Automobile & Ancillaries,1,
16,Bata India Ltd.,INE176A01028,100043,Retailing,Retailing,1,
17,Bajaj Hindusthan Sugar Ltd.,INE306A01021,100032,Sugar,Agri,1,
18,Bajaj Finance Ltd.,INE296A01024,100034,Finance - NBFC,Finance,1,
19,Bharat Electronics Ltd.,INE263A01024,100049,Engineering - Industrial Equipments,Capital Goods,1,
20,Century Textiles & Industries Ltd.,INE055A01016,100040,Diversified,Diversified,1,
21,Bihar Sponge Iron Ltd.,INE819C01011,100058,Steel/Sponge Iron/Pig Iron,Iron & Steel,1,
22,Chambal Fertilisers and Chemicals Ltd.,INE085A01013,100085,Fertilizers,Chemicals,1,
23,Exide Industries Ltd.,INE302A01020,100086,Batteries,Automobile & Ancillaries,1,
24,Dalmia Bharat Sugar And Industries Ltd.,INE495A01022,100097,Sugar,Agri,1,
25,BPL Ltd.,INE110A01019,100074,Electronics - Components,Electricals,1,
26,Steel Authority Of India Ltd.,INE114A01011,100113,Steel & Iron Products,Iron & Steel,1,
27,CG Power and Industrial Solutions Ltd.,INE067A01029,100093,Electric Equipment,Capital Goods,1,
28,Titan Company Ltd.,INE280A01028,100114,Diamond  &  Jewellery,Diamond  &  Jewellery,1,
29,Dabur India Ltd.,INE016A01026,100096,Household & Personal Products,FMCG,1,
30,Mangalore Refinery And Petrochemicals Ltd.,INE103A01014,100109,Refineries,Crude Oil,1,
31,DIC India Ltd.,INE303A01010,100089,Chemicals,Chemicals,1,
32,CRISIL Ltd.,INE007A01025,100092,Ratings,Ratings,1,
33,Quest Capital Markets Ltd.,INE418C01012,100069,Finance - NBFC,Finance,1,
34,Century Extrusions Ltd.,INE281A01026,100083,Aluminium & Aluminium Products,Non - Ferrous Metals,1,
35,CESC Ltd.,INE486A01021,100084,Power Generation/Distribution,Power,1,
36,Cipla Ltd.,INE059A01026,100087,Pharmaceuticals & Drugs,Healthcare,1,
37,Ballarpur Industries Ltd.,INE294A01037,100102,Paper & Paper Products,Paper,1,
38,Bharat Heavy Electricals Ltd.,INE257A01026,100103,Engineering - Industrial Equipments,Capital Goods,1,
39,Blue Star Ltd.,INE472A01039,100067,Air Conditioners,Consumer Durables,1,
40,IFCI Ltd.,INE039A01010,100106,Finance Term Lending,Finance,1,
41,Mahanagar Telephone Nigam Ltd.,INE153A01019,100108,Telecommunication - Service  Provider,Telecom,1,
42,Disa India Ltd.,INE131C01011,100068,Engineering - Industrial Equipments,Capital Goods,1,
43,Arvind Ltd.,INE034A01011,100101,Textile,Textile,1,
44,Reliance Capital Ltd.,INE013A01015,100111,Finance - NBFC,Finance,1,
45,State Bank Of India,INE062A01020,100112,Bank - Public,Bank,1,
46,Chennai Petroleum Corporation Ltd.,INE178A01016,100110,Refineries,Crude Oil,1,
47,Goodyear India Ltd.,INE533A01012,100168,Tyres & Allied,Automobile & Ancillaries,1,
48,GHCL Ltd.,INE539A01019,100171,Chemicals,Chemicals,1,
49,Diamines & Chemicals Ltd.,INE591D01014,100120,Chemicals,Chemicals,1,
50,Godfrey Phillips India Ltd.,INE260B01028,100163,Cigarettes/Tobacco,FMCG,1,
51,Godrej Industries Ltd.,INE233A01035,100164,Chemicals,Chemicals,1,
52,Procter & Gamble Health Ltd.,INE199A01012,100126,Pharmaceuticals & Drugs,Healthcare,1,
53,Electrosteel Castings Ltd.,INE086A01029,100128,Castings/Forgings,Automobile & Ancillaries,1,
54,Dr. Reddy's Laboratories Ltd.,INE089A01023,100124,Pharmaceuticals & Drugs,Healthcare,1,
55,EPL Ltd.,INE255A01020,100135,Plastic Products,Plastic Products,1,
56,Ester Industries Ltd.,INE778B01029,100136,Plastic Products,Plastic Products,1,
57,E.I.D. - Parry (India) Ltd.,INE126A01031,100125,Sugar,Agri,1,
58,FGP Ltd.,INE512A01016,100142,Miscellaneous,Miscellaneous,1,
